AuthenticProd_id,Brand,Product_Name,Gender,Color,Size,Absorb,other,Count,Pack,Count_pack,EAN,Image,Max_price,Min_price,Product_Name_full,Slug,UPC,MasterProduct_id,AuthenticProd_id,Family_ID,Amazon,Amazon Canada,Amazon Prime Pantry,Bed Bath And Beyond,Bjs,Boxed,CVS,Costco,Costco Canada,Dollar General,HEB,Instacart,Kroger,Rakuten,Sam's Club,Target,Walgreens,Walmart,Walmart Canada
140,depend,bed protectors,Unisex,,One size fits all,OVERNIGHT,ct 2 pack,12,2,12 ct 2 Pack,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/69/10565769.jpg,27.98,27.98,Depend Bed Protectors 12 ct 2 Pack,depend-incontinence-bed-protectors-overnight-absorbency-disposable-underpad-12-count-pack-of-2,036000469615,10565769,140,2910,26.46,36.09,,,,,,,,,,,,,,,,,
157151,depend,fit-flex underwear,women,BEIGE,L,MAXIMUM,19 ct,19,1,19 ct,,NA,13.50,12.25,Depend Fit-Flex Underwear for Women Maximum Beige L 19 ct,depend-for-women-underwear-maximum-absorbency-large-19ct-bonus,,10942820,157151,17633,,,,,,,,,,12.25,,,,,,,,,
155740,depend,real fit briefs,men,GREY,S/M,MAXIMUM,56 ct,56,1,56 ct,3600036638,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/31/11392831.jpg,62.83,0.00,Depend Real Fit Briefs for Men Grey S/M 56 ct,depend-real-fit-briefs-for-men-grey-s-m-56-ct,03600036638,11392831,155740,20834,46.49,54.77,,,54.99,,,,,,,,,,,46.49,52.99,46.49,
4125,depend,night defense underwear,women,BEIGE,L,MAXIMUM,26 ct,26,1,26 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/71/11401571.jpg,24.99,20.99,Depend Night Defense Underwear for Women Beige L 26 ct,depend-night-defense-underwear-for-women-beige-l-26-ct,03600046339,11401571,4125,39808,,,,,,,,20.99,,,,,,,,,24.99,,
4125,depend,night defense underwear,women,BEIGE,L,MAXIMUM,12 ct,12,1,12 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/97/11401697.jpg,14.79,14.79,Depend Night Defense Underwear for Women Beige L 12 ct,depend-night-defense-underwear-for-women-beige-l-12-ct,03600045591,11401697,4125,39808,,,,,,,,,,,,,,,,,14.49,,
155737,depend,silhouette briefs,women,LAVENDER,S/M,MAXIMUM,56 ct,56,1,56 ct,36000465822,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/88/11404388.jpg,72.83,0.00,Depend Silhouette Briefs for Women Lavender S/M 56 ct,depend-silhouette-briefs-for-women-lavender-s-m-56-ct,03600046582,11404388,155737,20835,52.04,72.83,,,54.99,,59.99,,,,,,,,,,56.99,,
155739,depend,real fit briefs,men,BLACK,S/M,MAXIMUM,56 ct,56,1,56 ct,36000465839,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/15/11404415.jpg,59.99,0.00,Depend Real Fit Briefs for Men Black S/M 56 ct,depend-real-fit-briefs-for-men-black-s-m-56-ct,036000359442,11404415,155739,20834,51.75,,,,50.99,,59.99,,,,,,,,,,56.99,51.75,
157152,depend,fit-flex underwear,women,BEIGE,S,MAXIMUM,92 ct,92,1,92 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/85/11501985.jpg,54.99,42.98,Depend Fit-Flex Underwear for Women Maximum Beige S 92 ct,depend-fit-flex-underwear-for-women-maximum-beige-s-92-ct,36000484380,11501985,157152,17633,,,,,42.99,,,42.99,54.99,,,,,,42.98,,,,
3963,depend,fit-flex underwear,men,GREY,S/M,MAXIMUM,92 ct,92,1,92 ct,,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/97/11549697.jpg,54.99,42.98,Depend Fit-Flex Underwear for Men Grey S/M 92 ct,depend-fit-flex-underwear-for-men-grey-s-m-92-ct,36000484564,11549697,3963,17633,,,,,42.99,49.99,,42.99,54.99,,,,,,42.98,,,,
159878,depend,fit-flex underwear,men,GREY,XL,MAXIMUM,15 ct,15,1,15 ct,3600047930,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/36/11571836.jpg,19.99,0.00,Depend Fit-Flex Underwear for Men Grey XL 15 ct,depend-fit-flex-underwear-for-men-grey-xl-15-ct,036000479300,11571836,159878,17633,10.49,19.99,,,,,14.99,,,12.25,,,,,,11.99,14.49,,
159935,depend,fit-flex underwear,women,BEIGE,M,MAXIMUM,30 ct,30,1,30 ct,3600047919,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/45/11571845.jpg,20.99,17.79,Depend Fit-Flex Underwear for Women Maximum Beige M 30 ct,depend-fit-flex-underwear-for-women-maximum-beige-m-30-ct,036000479195,11571845,159935,17633,,29.99,,,,,19.79,,,,,,,,,18.99,19.49,18.94,
159935,depend,fit-flex underwear,women,BEIGE,M,MAXIMUM,44 ct,44,1,44 ct,0036000484397,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/53/11571853.jpg,34.99,0.00,Depend Fit-Flex Underwear for Women Maximum Beige M 44 ct,depend-fit-flex-underwear-for-women-maximum-beige-m-44-ct,03600048439,11571853,159935,17633,,34.99,,,,,,,,,,,,,,24.99,25.99,,
155733,depend,silhouette active fit briefs,women,BLACK,S/M,MODERATE,60 ct,60,1,60 ct,3600042587,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/24/11640024.jpg,86.28,0.00,Depend Silhouette Active Fit Briefs for Women Black S/M 60 ct,depend-silhouette-active-fit-briefs-for-women-black-s-m-60-ct,03600042587,11640024,155733,39809,59.99,86.28,,,55.99,,66.49,,,,,,,,,59.99,59.99,59.99,
155732,depend,silhouette active fit briefs,women,BLACK,L/XL,MODERATE,56 ct,56,1,56 ct,3600042591,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/62/11640262.jpg,97.50,0.00,Depend Silhouette Active Fit Briefs for Women Black L/XL 56 ct,depend-silhouette-active-fit-briefs-for-women-black-l-xl-56-ct,03600042591,11640262,155732,39809,67.99,97.5,,,60.99,,67.99,,,,,,,,,69.99,67.99,69.99,
155731,depend,silhouette active fit briefs,women,BEIGE,L/XL,MODERATE,56 ct,56,1,56 ct,3600042590,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/65/11640265.jpg,94.25,0.00,Depend Silhouette Active Fit Briefs for Women Beige L/XL 56 ct,depend-silhouette-active-fit-briefs-for-women-beige-l-xl-56-ct,036000425901,11640265,155731,39809,62.99,94.25,,,64.99,,67.99,,,,,,,,,62.99,67.99,62.99,
155735,depend,silhouette briefs,women,BLACK,L/XL,MAXIMUM,52 ct,52,1,52 ct,36000359411,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/89/11642189.jpg,59.99,0.00,Depend Silhouette Briefs for Women Black L/XL 52 ct,depend-silhouette-briefs-for-women-black-l-xl-52-ct,03600035941,11642189,155735,20835,55.12,,55.12,,50.99,,59.99,,,,,,,,,,,55.12,
155736,depend,silhouette briefs,women,LAVENDER,L/XL,MAXIMUM,52 ct,52,1,52 ct,36000465792,https://s3-us-west-2.amazonaws.com/smartcommerce.co/images_pms/90/11642190.jpg,75.58,0.00,Depend Silhouette Briefs for Women Lavender L/XL 52 ct,depend-silhouette-briefs-for-women-lavender-l-xl-52-ct,036000359411,11642190,155736,20835,57.97,75.58,,,50.99,,59.99,,,,,,,,,,58.99,57.97,
